BookID,BookTitle,AuthorName,BookPrice,BookPublisher,BookPublicationDate,BookQuantity
192,A Trace of Vice (a Keri Locke Mystery--Book #3),Blake Pierce,18.72,Blake Pierce,"Jun 15, 2017",17
193,The Memoirs of Sherlock Holmes,Arthur Conan Doyle,0,Simon and Schuster,"Nov 18, 2014",5
194,Find Me: A Novel,André Aciman,46.88,"Farrar, Straus and Giroux","Oct 29, 2019",12
195,Dark Matter: A Novel,Blake Crouch,28.61,Broadway Books,"Jul 26, 2016",1
196,Happy: Why More or Less Everything is Absolutely Fine,Derren Brown,55.47,Random House,"Sep 22, 2016",7
197,"Shadowbred: The Twilight War, Book 1",Paul S. Kemp,27.53,Wizards of the Coast,"Apr 21, 2010",17
198,Strawberry Shortcake Murder,Joanne Fluke,43.36,Kensington Books,"Oct 1, 2011",0
199,The Witcher #1,Paul Tobin,7.84,Dark Horse Comics (Single Issues),"Feb 19, 2014",19
200,Spider-Man: Anti-Venom,Dan Slott,19.65,Marvel Entertainment,"Mar 10, 2010",18
201,Battle Sight Zero,Gerald Seymour,94.48,Hachette UK,"Jan 10, 2019",18
202,The Neatest Little Guide to Stock Market Investing: Fifth Edition,Jason Kelly,62.1,Penguin,"Dec 24, 2012",3
203,Kingdom Of Strangers,Zoe Ferraris,39.34,Hachette UK,"Jun 7, 2012",16
204,On Tyranny: Twenty Lessons from the Twentieth Century,Timothy Snyder,33.38,Tim Duggan Books,"Feb 28, 2017",7
205,In Dark Company: A Kate Burkholder Short Story,Linda Castillo,6.64,Minotaur Books,"May 29, 2018",0
206,The Infinite Game,Simon Sinek,71.63,Penguin,"Oct 15, 2019",0
207,Freakonomics Rev Ed: A Rogue Economist Explores the Hidden Side of Everything,Steven D. Levitt,88.69,Harper Collins,"Feb 17, 2010",14
208,Killer Blonde,Laura Levine,73.67,Kensington Books,"Sep 1, 2008",20
209,Total Control,David Baldacci,41.82,Pan Macmillan,"Nov 4, 2011",16
210,Permanent Record,Edward Snowden,49.58,Metropolitan Books,"Sep 17, 2019",18
211,Little Girl Lost: A Lucy Black Thriller,Brian McGilloway,35.44,Harper Collins,"Feb 18, 2014",7
212,Kiss the Girls and Make Them Cry,Mary Higgins Clark,42.26,Simon and Schuster,"Nov 14, 2019",9
213,"Awaken the Giant Within: How to Take Immediate Control of Your Mental, Emotional, Physical and Financial",Tony Robbins,55.09,Simon and Schuster,"Nov 1, 2007",9
214,The Eye of the World: Book One of 'The Wheel of Time',Robert Jordan,36.79,Tor Books,"Sep 15, 2000",3
215,"Goals!: How to Get Everything You Want -- Faster Than You Ever Thought Possible, Edition 2",Brian Tracy,86.45,Berrett-Koehler Publishers,"Aug 9, 2010",5
216,15 Delicious Slow Cooker Recipes,Sallie Stone,0,BookRix,"Oct 28, 2019",6
217,Moby Dick. Illustrated edition,Melville Herman,0.17,Strelbytskyy Multimedia Publishing,"Feb 28, 2018",13
218,Selling 101: What Every Successful Sales Professional Needs to Know,Zig Ziglar,29.55,HarperCollins Leadership,"Apr 1, 2003",2
219,Legacy,Shannon Messenger,43.28,Simon and Schuster,"Nov 5, 2019",12
220,"Rogue, Prisoner, Princess (Of Crowns and Glory—Book 2)",Morgan Rice,14.96,Morgan Rice,"Aug 3, 2016",17
221,Letting Go,"David R. Hawkins, M.D./Ph.D.",74.78,"Hay House, Inc","Aug 1, 2013",7
222,10 Ways to be annoying,James Fries,4.43,EDITORA BIBLIOMUNDI SERVIÇOS DIGITAIS LTDA,"Nov 21, 2019",5
223,Shall We Tell the President?,Jeffrey Archer,41.82,Pan Macmillan,"Apr 1, 2011",19
224,A Crown of Swords: Book Seven of 'The Wheel of Time',Robert Jordan,33.42,Macmillan,"Apr 20, 2010",2
225,The Guardians: A Novel,John Grisham,71.63,Doubleday,"Oct 15, 2019",1
226,Final Option,Clive Cussler,71.63,Penguin,"Nov 5, 2019",10
227,Rogues,George R. R. Martin,52.54,Bantam,"Jun 17, 2014",11
228,That Time I got Reincarnated as a Slime 11,Story by FUSE,43.28,Kodansha America LLC,"Oct 15, 2019",19
229,The Power of Habit: Why We Do What We Do in Life and Business,Charles Duhigg,62.1,Random House,"Feb 28, 2012",1
230,Sword of Destiny: Witcher 2: Tales of the Witcher,Andrzej Sapkowski,43.28,Hachette UK,"May 21, 2015",11
231,You'll Never See Daylight Again,Michaella McCollum,42.16,Kings Road Publishing,"Oct 31, 2019",3
232,Watching (The Making of Riley Paige—Book 1),Blake Pierce,0,Blake Pierce,"May 15, 2018",19
233,A Game of Thrones: A Song of Ice and Fire: Book One,George R. R. Martin,39.34,Bantam,"Jan 1, 2003",7
234,The Mysterious Affair at Styles,Agatha Christie,8.7,HarperCollins UK,"Jan 17, 2013",16
235,The Empty Nest: An unputdownably gripping psychological thriller,Sue Watson,3.71,Bookouture,"Nov 1, 2019",9
236,Mighty Thor Vol. 2: Lords Of Midgard,Jason Aaron,66.91,Marvel Entertainment,"Nov 30, 2016",15
237,Mrs. Pollifax Unveiled,Dorothy Gilman,31.46,Ballantine Books,"May 31, 2000",10
238,Blue Moon: A Jack Reacher Novel,Lee Child,71.63,Dell,"Oct 29, 2019",5
239,A Dance with Dragons: A Song of Ice and Fire: Book Five,George R. R. Martin,39.34,Bantam,"Jul 12, 2011",0
240,Home Work: A Memoir of My Hollywood Years,Julie Andrews,98.42,Hachette UK,"Oct 15, 2019",3
241,"The Painted Man (The Demon Cycle, Book 1)",Peter V. Brett,28.54,HarperCollins UK,"Jan 8, 2009",11
242,Powerful Phrases for Dealing with Difficult People: Over 325 Ready-to-Use Words and Phrases for Working with Challenging Personalities,Renee Evenson,32.36,AMACOM,"Oct 15, 2013",17
243,Green Lantern: Secret Origin,Geoff Johns,59.03,DC,"Apr 12, 2011",15
244,Moby Dick. Illustrated edition,Melville Herman,0.17,Strelbytskyy Multimedia Publishing,"Feb 28, 2018",3
245,How to Win Friends and Influence People,Dale Carnegie,55.47,Random House,"Sep 30, 2010",19
246,Happy: Why More or Less Everything is Absolutely Fine,Derren Brown,55.47,Random House,"Sep 22, 2016",12
247,War and Peace: With bonus material from Give War and Peace A Chance by Andrew D. Kaufman,Leo Tolstoy,0,Simon and Schuster,"Apr 8, 2014",0
248,Competitive Advantage: Creating and Sustaining Superior Performance,Michael E. Porter,78.72,Simon and Schuster,"Jun 30, 2008",20
249,Summary: The Compound Effect,Nine99 Innovation Lab,3.94,Nine99 Innovation Lab (OPC) Pvt Ltd,"Jul 7, 2019",14
250,And Then There Were None,Agatha Christie,32.1,HarperCollins UK,"Oct 14, 2010",3
252,The Art of War (The Classic Lionel Giles Translation),Sun Tzu,4.17,e-artnow,"Jun 2, 2012",19
